ID,Steps
7,"on medium-low heat, melt the butter in a pan, continuously stirring and when it starts to smell nutty, add the garlic and shallot."
7,lower the heat then add your miso paste.
7,loosen the mix up with a splash of noodle water.
7,then add your udon to the sauce and season well with salt and pepper.
7,squeeze in half a lemon.
7,"stir your noodles gently you get a thick, glossy sauce and give it a good shake in the pan."
7,peel your eggs.
7,grate over parmesan and lemon zest.
7,"serve with your perfect jammy eggs and nori, and tuck in."
8,chop your chicken breasts into large chunks.
8,"pop them in a bowl with 150g of your yogurt, 1 tsp of your ground cardamom and a big pinch of salt."
8,"give it a good mix, then pop in the fridge to marinate for a couple of hours."
8,peel and slice your onion.
8,grate your garlic and ginger.
8,heat a glug of oil in a large pan over a medium heat.
8,"add your cinnamon stick and onions to the pan, then fry for 10 mins until soft and starting to caramelise."
8,"add your garlic and ginger and cook out for 2 mins before adding your remaining cardamom, ground cumin, ground coriander, turmeric, chilli powder and tomato puree."
8,cook for a minute longer until fragrant.
8,turn the heat right down.
8,"tip your yogurt, ground almonds, 300ml water and your chicken along with its marinade into the pan and bring to a gentle simmer."
8,add a good pinch of salt and pop the lid on - simmer for 20 mins.
8,"meanwhile, toast your flaked almonds for a couple of mins in a dry frying pan until golden and fragrant."
8,chop your coriander.
8,"once your cooking time is up, add your mango chutney to the korma and season to taste with salt."
8,serving time.
8,spoon your chicken korma over rice and sprinkle with your coriander and flaked almonds.
8,serve with rice or naan.
9,"finely slice your spring onions, separating the whites to the greens."
9,mince your ginger and garlic.
9,grind your sichuan peppercorns in a pestle and mortar.
9,cut your tofu into small cubes.
9,"bring a pot of salted water to boil, add your tofu then bring to a simmer for 2 mins, then set aside (make sure it doesnt fall apart)."
9,add 2 tbsps of veg oil into your wok then add your ground peppercorns.
9,fry for 30 seconds until crispy then set aside.
9,"in the same wok, add your pork mince, sugar, chilli bean sauce and sichuan peppercorns."
9,fry for a few mins until the colour of the meat darkens.
9,"then add your garlic, ginger, the whites of the spring onions, shaoxing wine, soy sauce and chicken stock."
9,bring to a boil for 10 mins.
9,"then, mix your cornstarch with 100ml water and add to your wok and give it a good stir."
9,"add chilli oil, spring onion greens and sesame oil and give it a good mix."
9,"then gently add in your tofu and bring, put a lid on and bring to simmer for 3 mins."
9,plate up and serve with your fluffy rice.
10,preheat your oven to 130c.
10,halve the bulbs of garlic through the middle and place into a small saucepan.
10,fill with oil until submerged and then place into the oven for 1 hour.
10,"meanwhile, toast the sourdough and spread with a generous layer of goats cheese."
10,"finely slice the chives and sprinkle over, along with a pinch of salt and some black pepper."
10,"once the garlic is cooked, remove from the oven and allow to cool for about 10 mins."
10,"remove and squeeze over the toast, then spread."
10,"sprinkle with a pinch of salt, drizzle over the honey and enjoy."
12,"add the peanut butter, soy sauce, sugar, apple cider vinegar and 250ml water to a bowl and whisk until smooth."
12,heat a splash of vegetable oil in a large frying pan or wok over high heat.
12,"add the spring onions and cook, turning occasionally, until softened and nicely charred."
12,transfer to a chopping board and cut into 2cm chunks.
12,cook the noodles in boiling water according to the package instructions.
12,rinse under cold water and drain.
12,add 2 tablespoons of oil to the noodles and toss to coat.
12,this will prevent them from sticking to each other.
12,split the sausage casings and remove the sausage meat then mince the garlic and ginger.
12,heat a splash of vegetable oil in a large frying pan or wok over high heat.
12,"add the sausage meat and cook, breaking it up with a wooden spoon, until browned and crispy."
12,"add the garlic, ginger and chilli flakes and stir fry for 1 minute, then add the noodles, peanut sauce and spring onions and toss well to coat."
12,"turn the heat down to low and keep tossing until the sauce nicely coats the noodles, adding more water as necessary to loosen the sauce."
12,thinly slice the red chilli.
12,plate up and garnish with the sliced chillies then youre ready to dig in.
13,melt 100g butter in a saucepan over medium heat.
13,add 240ml water and bring to a rapid simmer.
13,add the flour and a pinch of salt and mix continuously with a wooden spoon until the dough comes away from the sides of the pan.
13,transfer the dough to a mixing bowl and leave to cool for 10 mins.
13,heat your oven to 220c / fan 200c and line 2 large baking trays with greaseproof paper.
13,add 1 egg to the cooled dough mixture and beat with a wooden spoon until combined.
13,"repeat with the remaining eggs, ensuring each egg is fully incorporated before adding the next."
13,"using a teaspoon, spoon 15 blobs of the dough onto each of the baking trays."
13,you want each blob to be 1 heaped teaspoon worth of dough.
13,"bake for 18 to 20 mins, or until golden brown and risen."
13,"meanwhile, place the remaining 60g butter in a saucepan with the light brown sugar, single cream, vanilla extract and 1 teaspoon of salt and bring to a simmer over medium-low heat."
13,"cook for 5 mins, stirring constantly, then transfer to a heatproof bowl to cool."
13,the sauce will thicken as it cools.
13,take the profiteroles out of the oven and cut a small split in the base of each one to let the steam out.
13,cool on a wire rack before filling.
13,"meanwhile, crush up the peanuts."
13,"once the profiteroles have cooled, halve them horizontally and fill each of them with a heaped tablespoon of judes salted caramel ice cream."
13,dip the top of each of the assembled profiteroles in the salted caramel sauce and sprinkle with some crushed peanuts.
13,"stack them up onto a large plate, serve and enjoy!"
14,heat your oven to 200c/180c fan.
14,pierce the aubergines all over with a small knife and rub with vegetable oil.
14,"bake in a roasting tin, turning occasionally, for 1 hour, or until completely softened."
14,"meanwhile, toast the sichuan peppercorns in a dry pan over medium heat until nice and fragrant, around 1 min."
14,transfer to a mortar and pound with a pestle until ground.
14,mince the garlic and finely chop the ginger.
14,"place them in a bowl with the ground sichuan peppercorns, light soy sauce, garlic chilli paste, sugar, rice wine vinegar, and 300ml water."
14,mix the corn flour with a couple of tablespoons of water and add to the sauce.
14,whisk the tahini and toasted sesame oil until smooth then add 150ml water and whisk again until smooth.
14,"it will split and look like it wont emulsify but trust the process! after a couple of minutes, it will come together in a thick, creamy sauce."
14,season with salt and set aside.
14,take the aubergines out of the oven.
14,place the sauce in a large wok and bring to a simmer over high heat.
14,"add the aubergine and cook for 3 mins, turning often to coat the aubergine in the sauce."
14,thinly slice the spring onions.
14,"to serve, smooth the tahini sauce on the base of a serving dish."
14,place the aubergines on top and drizzle with the sauce.
14,"top with a sprinkle of crispy onions, peanuts and spring onions."
15,place the noodles in a heatproof bowl of boiling water for few mins and cover with a lid.
15,"meanwhile, niche your garlic and slice your spring onions, separating your whites to greens."
15,"once your noodles are soft, drain using a colander."
15,"now pour a small glug of veg oil into your wok, and on med heat fry your garlic and white spring onions."
15,"then add your noodles, oyster sauce, dark soy sauce and the seasoning packet included in your noodle packet."
15,give it a toss.
15,then add your green spring onions and give it a final toss.
15,10 mins bish bash bosh.
15,enjoy.
16,"fill a large pot just under halfway with vegetable oil and set over a medium heat, bring to 180c."
16,trim any woody ends from the broccoli and halve any large stalks lengthways.
16,whisk together the rice and plain flours along with the baking powder and caster sugar.
16,gradually whisk in the sparkling water until you have a loose batter thats the texture of double cream.
16,"lightly dust the broccoli with rice flour, dunk briefly in the batter and carefully lower into the oil."
16,fry for 2-3 mins until golden brown and crunchy.
16,carefully transfer to a lined baking tray or rack and season with salt.
16,repeat with the remaining broccoli.
16,"meanwhile, grate the garlic into a bowl and beat in the nduja with a big squeeze of lemon juice."
16,stir in the mayo and season with salt.
16,"serve the hot, crispy broccoli with lemon wedges and plenty of nduja aioli."
17,preheat the grill to medium-high (190c).
17,"crack your eggs into a large bowl, season with salt and whisk with a fork."
17,set aside.
17,thinly slice your onions and get them into a pan with plenty of olive oil.
17,cook down with a pinch of salt for 9-10 mins until caramelised.
17,"meanwhile, peel and slice your potatoes as thin as you can."
17,"chuck them into the pan with the onions and add a shed load of olive oil, approx 100ml (trust me)."
17,"cover and cook, stirring regularly for 7-8 mins until the potatoes are just tender."
17,now drain off the excess oil (save this for later!) and mix the onions and potatoes into the eggs.
17,slice up the peppers and roughly chop the anchovies and get them into the bowl with the eggs.
17,"mix everything together and season with salt, pepper and a generous pinch of sweet smoked paprika."
17,"now grab a 24cm non-stick frying pan (trust me, you want it non-stick)."
17,add a splash of the leftover olive oil and preheat over medium-low.
17,"dump the egg mixture into the pan (you should hear a gentle sizzle) and shake to distribute the potatoes, peppers and anchovies throughout the pan."
17,now turn down the heat and cook for 10-12 mins until the sides begin to set.
17,pop it under the grill for 4-5 minutes.
17,"now, grab a large plate or lid and flip the tortilla out."
17,slide it back into the pan and cook for another 3-4 mins.
17,turn the tortilla out onto a chopping board and cut into wedges.
17,"now top with aioli, extra paprika and sliced spring onions."
17,serve with a green salad if you fancy it.
18,"in a large mixing bowl, combine the water, yeast and sugar and stir to combine."
18,add the flour and salt and use your hand to mix the ingredients together and form a shaggy dough.
18,turn the dough out onto a lightly floured surface and knead for 8-10 mins until smooth and springy.
18,"divide the dough into 6 pieces, form into little balls and place into a tray dusted with semolina."
18,now chuck them in the fridge and forget about them for a day or two.
18,"when youre ready for a flatbread, place a large frying pan over a medium heat."
18,"add a glug of oil, pull out a flatbread and stretch it out in a little more semolina."
18,chuck it into the pan and cook on one side until crispy and puffed.
18,give it a flip and cook until lightly charred.
18,"thats it, good to go."
18,"stuff them full of grilled chicken, hummus, baked feta - whatever you want."
18,"the dough balls will sit happily in your fridge, ready to go for up to 5 days."
19,first make the mushroom marinade.
19,"in a blender, add 80ml soy sauce, 30ml maple syrup, 2 garlic cloves, 1 small chilli, 10g ginger (peeled), and blend until smooth."
19,"if youre using wooden skewers, soak them in water."
19,cut the mushrooms into bite sized chunks.
19,put the mushrooms and the marinade into a shallow bowl and mix well.
19,set aside.
19,*see notes for king oyster mushrooms.
19,"next, make the miso tahini sauce."
19,"in a blender, add 100g tahini, 30g sesame oil, 60g white miso, the juice of one lime, 30ml maple syrup, 100ml oat milk and blend until smooth."
19,set aside.
19,"cook the soba noodles according to the packet instructions, stirring a few times to prevent sticking."
19,"drain and run them under cold water, then place in a bowl with a good drizzle of sesame oil to prevent them sticking."
19,"skewer the mushrooms onto the sticks, finishing with a piece of chilli and spring onion if you like."
19,"griddle the skewers over high heat on a griddle pan, turning frequently, until charred and cooked through."
19,slice and wash the pak choi.
19,heat a saucepan with a drizzle of neutral oil and stir fry the pak choi until just wilted.
19,add the miso sauce and noodles to the pan and heat through.
19,"if the sauce is very thick, add a little water or some more oat milk."
19,"to serve, spoon the noodles into a plate and lay the mushroom skewers on top, with a sprinkle of sesame seeds and a good squeeze of lime."
20,preheat the oven to 200c.
20,finely chop 4 cloves of garlic and coriander.
20,add 50ml of vegetable oil to a pan and add in the flour.
20,cook on medium heat for 7-8 mins until it turns a dark golden brown.
20,then add in the garlic and cook for 3 mins.
20,then pour in the oat milk and keep mixing until you get a smooth consistency.
20,"meanwhile, pop the macaroni in some boiling water and cook for 5 mins."
20,grate the violife epic mature cheddar and add this to the pan and keep mixing until its smooth and melted.
20,"add in the harissa paste, juice of a lemon and 1 tsp salt."
20,save 200ml of pasta water and add the macaroni to the baking dish.
20,add in 200ml of pasta water so its very loose.
20,transfer this to a baking dish.
20,grate in the remaining garlic into a small bowl and add in 2 tbsp of olive oil.
20,"mix well and then add in the breadcrumbs, coriander and grated violife prosociano wedge."
20,season well with salt and pepper sprinkle this over your pasta and bake for 20 mins until golden and bubbling.
20,allow to cool for a few mins and then tuck in!
21,start by placing the dried mushroom into a bowl and covering with 250ml of boiling water.
21,leave to soak while you do the rest of the prep.
21,"dice the onion and carrot (or whizz in a processor until finely chopped), it should be small but doesnt have to be neat."
21,"place a saucepan over a medium heat, add a generous amount of olive oil (3 tbsp/50ml) and add the onion and carrot with a pinch of salt."
21,cook for about 8 mins until soft but not browned.
21,"while the onion and carrot cook, finely chop all of the mushrooms."
21,empty the contents of the pan into a bowl and wipe out.
21,place the pan back over a high heat and add the mushrooms and a pinch of salt.
21,drain the soaked mushrooms (keep the soaking liquid) and finely chop.
21,add those to the pan too.
21,"cook until the mushrooms have released most of their moisture and taken on some colour, you want a nice golden brown."
21,"add the wine and let it bubble away until almost completely evaporated, then turn down the heat to medium."
21,"return the onion and carrot to the pan along with both tins of lentils (drain them first), the mushroom soaking liquid and a tsp of salt."
21,bring the ragu to a simmer and cook for about 15 mins.
21,"while the sauce is cooking, put the pasta on to boil in plenty of salted water."
21,"once the pasta is al dente, drain and combine with the ragu."
21,"finely chop the parsley, add and mix well."
21,add 75ml of olive oil to a small pan and place over a medium heat.
21,"pick and add the sage leaves and fry for a couple of mins until crisp plate up the pasta, top with a few crunchy sage leaves and a drizzle of the oil they cooked."
21,"add a sprinkle of chilli, if you like."
22,preheat the oven to 180c.
22,finely slice the onions and garlic and roughly chop the roasted peppers.
22,heat a large ovenproof pan over a medium-high heat.
22,"cook most of the onion, saving a handful, in a glug of oil with a pinch of salt for 8-10 mins until they start to caramelise."
22,"add the oregano, garlic and chilli flakes and cook for a further couple of mins."
22,"now add the orzo, chopped tomatoes and peppers."
22,add 210ml of water and a splash of the liquid from the pepper jar.
22,"season with salt and pepper, crumble in the feta and scatter your olives over the top of the pan."
22,bring to a simmer and transfer to the oven for 30-35 mins until cooked through and starting to brown on top.
22,"while the orzo bakes, toss the dill, parsley and remaining sliced onion with a squeeze of lemon."
22,top the orzo with the onion and herbs and a drizzle of olive oil.
22,serve with extra lemon wedges.
23,preheat your oven to 180c.
23,get a pot of salted water to boil.
23,wash the cavolo nero then strip the leaves off.
23,pop these into the boiling water and blanch until soft.
23,"meanwhile, mince your cavolo nero stalks."
23,"remove the leaves from the pot, preserving the water."
23,bring the pot of water to boil again then add the macaroni in and cook until al dente.
23,"remove your macaroni, keeping the pasta water."
23,add the blanched cavolo nero leaves along with the garlic to a food processor and pulse with a splash of pasta water.
23,"grate your parmesan and cheddar, and set aside in separate bowls."
23,crush your walnuts using a pestle and mortar.
23,"meanwhile, make your bechamel."
23,"on low heat, add the butter then the flour and continuously stir until a paste forms - this is your roux."
23,gradually pour in the milk and continuously whisk.
23,season with nutmeg then add your grated cheese.
23,fold in your macaroni then add your cavolo nero puree and 100g of the crushed walnuts.
23,"season with salt, pepper and a pinch of chilli flakes to taste."
23,"in a separate pan, toast the cavolo nero stalks then add in your breadcrumbs and fry until golden."
23,take it off the heat and add the remaining crushed walnuts.
23,transfer your macaroni to a baking dish and top with the breadcrumb mix.
23,bake in the oven for 20 mins and enjoy this goodie.
24,preheat the oven to 200c.
24,finely chop up the mint.
24,"grate the onion into a bowl using a box grater and then add in the lamb mince, harissa and mint."
24,mix the lamb really well for 5 mins so it becomes very well mixed - this will help the fat emulsify.
24,roll the lamb into 10 evenly sized sausages and place onto an oven-proof rack.
24,pop the rack onto a tray and bake for 4 mins.
24,take the tray out of the oven and turn the kebabs.
24,pop your flatbread onto the baking tray underneath the rack so they can soak up the lamb juices.
24,bake for another 4 mins.
24,remove from the oven and enjoy the kebabs with the soft flatbread.
25,dice chicken thighs into little chunks.
25,throw into a bowl.
25,"grate in a red chilli, your clove of garlic and a large knob of ginger."
25,"add your honey, 3 tbsp of soy sauce and half a can of coconut milk."
25,add a splash of olive oil and mix everything together.
25,cover and leave in the fridge for 10 minutes to marinate.
25,chop your coriander and cucumber into small chunks and add to a big bowl.
25,dressing time.
25,"into a bowl, add the peanut butter, a tbsp of soy sauce, the juice of a lime, coconut milk and sugar."
25,"keep mixing until you have a smooth, perfect-for-pouring consistency."
25,chicken time.
25,fry your chicken in batches until its cooked through and sticky - pour all of the marinade juices into the pan while cooking.
25,chop your romaine lettuce into small pieces.
25,assembly time.
25,place the chicken on top of the salad then your coriander and cucumber alongside an extra red chilli if you like it spicy.
25,"scatter a large handful of chopped peanuts over the top, and then pour your peanut butter dressing over everything."
25,mix together and enjoy.
27,"roughly chop your onion, 4cm of your ginger, 4 cloves of your garlic, your lemongrass and your finger chillies, removing the seeds."
27,pop them all in a small food processor and whizz to a paste.
27,heat a large saucepan over a medium heat.
27,"add a splash of olive, then sizzle for a minute until fragrant."
27,tip your curry paste into the pan and cook for 10 mins until it has darkened slightly and is deeply fragrant.
27,keep stirring it to ensure it doesnt catch.
27,"meanwhile, peel and halve your potatoes."
27,"add your cumin, turmeric and 1/2 tsp of your chilli powder to the pan, then cook out for 1 min."
27,"pour in your coconut milk and vegetable stock, then bring to a simmer."
27,"drain your chickpeas, and get these in the pan along with your potatoes."
27,"add a pinch of salt, then simmer for 25 mins."
27,"meanwhile, make your sizzling ginger oil."
27,chop your remaining ginger into matchsticks.
27,finely dice your remaining garlic cloves.
27,add all of these ingredients to a heatproof bowl along with your remaining 1/2 tsp chilli powder.
27,heat 100ml of vegetable oil in a saucepan until it is very hot.
27,"carefully pour your oil over the ingredients in a bowl, then mix to combine."
27,"pour your soup into bowls, then drizzle over your sizzling oil."
27,"top with coriander, then serve."
28,"cut the potatoes in half, place them in a pan of cold water and bring it to a boil."
28,simmer for 15 mins or until cooked.
28,"slice the leek in half length ways, then slice into roughly 1cm strips."
28,wash to get any dirt out.
28,place a frying pan on a medium heat and sweat off the leeks in a glug of olive oil and the butter.
28,gently cook until softened before adding the garlic and cooking for a couple more mins.
28,add the cream and the white wine and reduce for a few mins until the sauce has thickened and is glossy.
28,then grate in the parmesan.
28,"once the potatoes are cooked, strain them and add them to the creamy leeks."
28,"season with salt and pepper, finish with the chopped parsley and tuck in."
29,tear your mushrooms into shreds with your hands.
29,"toss them in a bowl with your cornflour, five spice and pinch of salt, then toss to coat."
29,heat a generous glug of vegetable oil in a frying pan.
29,"add 1/4 of your mushrooms, then fry for a few mins until crispy."
29,you may need to flip them over.
29,"remove from the pan and drain on a tray lined with kitchen paper, then continue with your remaining mushrooms."
29,"add 2 tbsp of your hoisin sauce to your mushrooms, and toss to coat."
29,julienne your cucumber and spring onions.
29,warm up your chinese pancakes.
29,"serve your crispy mushrooms with your remaining hoisin sauce, cucumber and spring onions in your pancakes."
30,preheat your oven to 200c.
30,"peel and chop the carrots, get them in a roasting tray with the oil and salt and into the oven."
30,cook the giant couscous in salted water.
30,"meanwhile mix the honey, vinegar and 2 tbsp of oil together in a small bowl."
30,"after about 20 mins of roasting, pour that mix over the carrots and pop back into the oven for another 10 mins."
30,"tear up the dates and remove the stones, then slice the parsley."
30,"add both to a big bowl along with a good pinch of salt, the chilli flakes, cumin and a big squeeze of lemon."
30,then go in with the carrots and a splash of that glaze from the pan and give everything a good mix.
30,stir the salt and coriander into the yogurt and spread the mix over a big plate.
30,spoon over the carrots and couscous and finish with a good drizzle of olive oil.
31,tear the oyster mushrooms into small pieces.
31,"combine the cornflour, salt and five-spice powder in a bowl."
31,toss this with the mushrooms until evenly coated.
31,"fill a wok with some vegetable oil and bring it to medium heat, add in the mushrooms and fry for 5 mins until very crispy."
31,"make the sauce by combining the hoisin sauce, tahini, light soy sauce, sesame oil, and dark soy sauce."
31,"cook your noodles according to the package instructions, then run them under cold water."
31,"finely chop the garlic, spring onions, chilli and ginger."
31,slice up the sugar snap peas.
31,remove the oil from the wok and wipe clean.
31,get the wok back on the heat and add in a big drizzle of oil.
31,"fry off the spring onions, ginger, garlic and chilli until fragrant for 2 mins."
31,"then add in the sugar snap peas and noodles and toss around in the aromatics, add in the sauce and give it another toss so they are evenly coated."
31,serve it up in bowls and top with your crispy mushrooms and enjoy.
32,grate the courgettes in a bowl and season generously with salt.
32,"meanwhile make the salsa by charring the tomatoes, red onion, chilli and garlic over a flame on the hob or under a very hot grill."
32,finely chop the coriander.
32,"add the garlic, chilli and onion to a pestle and mortar with a large pinch of salt."
32,pound to form a chunky paste then add in the tomatoes one by one and keep pounding until you get a chunky salsa.
32,"add in the coriander, juice of a lime and season with salt."
32,cut the corn off the cobs and add the kernels to your bowl of grated courgettes.
32,"mix in the flour, 1 tsp salt, cumin and smoked paprika."
32,"this, in combination with the liquid from the courgettes, should be enough to form a batter."
32,get a frying pan on medium heat and add in a big glug of oil.
32,spoon in a few tablespoons of the batter and slightly flatten.
32,cook for 4 mins and then flip over and cook on the other side until very golden brown.
32,allow to cool slightly so they crisp up and serve with the salsa.
33,finely chop the garlic and shallots.
33,add a big glug of olive oil and saute the shallots and chilli flakes.
33,add the anchovy fillets and break them down into the shallots with the back of a wooden spoon.
33,pour in the chopped tomatoes with the olive oil from the sardines and cook for 15 mins until the sauce has reduced.
33,pop the pasta on to cook in a pot of salted boiling water.
33,squeeze in the juice of a lemon into the tomatoes and add in the pasta with 100ml of pasta water.
33,add in the pasta with 100ml of pasta water to the tomatoes and squeeze in the juice of a lemon.
33,pop the sardines in too.
33,finely chop the dill.
33,in a small frying pan add a glug of olive oil and add in the drained capers.
33,fry for 5-6 mins until they are crispy and then drain on a paper towel.
33,add 3/4 of the dill to the pasta and toss well.
33,season with salt and pepper as necessary.
33,"serve in bowls with dollops of ricotta, crispy capers and reserved dill."
34,"finely chop all of the mushrooms (they dont need to be neat, just mince them up, use a food processor if you like)."
34,place a large pan over a medium-high heat and add a splash of olive oil.
34,add the mushrooms and a pinch of salt and cook for about 5 mins until the mushrooms have browned nicely.
34,remove the mushrooms into a large bowl and wipe out the pan.
34,"mix the milk and breadcrumbs together and finely chop the parsley, then add both to the mushrooms along with the pork mince, egg, nutmeg, plenty of black pepper and a tsp of salt."
34,mix really well with your hands until combined.
34,grab a tray and set it next to your mixing bowl.
34,roll the mix into meatballs about the size of golf balls and place onto the tray.
34,place your pan back onto a medium-high heat and add a splash of olive oil.
34,"add the meatballs and cook for about 5 mins until nicely browned all over, then remove from the pan."
34,"finely dice the onion, carrot and celery (again feel free to use a food processor here) and add to the pan."
34,cook over a medium heat for about 7 mins until softening.
34,"pour in the lentils and the vinegar and cook for a minute, stirring."
34,"pour in the chicken stock, bring up to a simmer and cook for about 30 mins until the lentils are tender."
34,keep an eye on the lentils and add more stock of a splash of water if needed.
34,"once the lentils have cooked through and the mix is saucy (they should be nice and saucy but a lot of the liquid should have been absorbed by this point), finely chop and add most of the dill along with the mustard and a tbsp of the creme fraiche."
34,"stir through, taste and add salt if needed."
34,return the meatballs to the pan and simmer for another few mins until they are hot all the way through.
34,"spoon the meatballs, lentils and sauce into bowls, add a sprinkle of dill, a dollop of creme fraiche and a spoon of jam to each bowl."
35,"cook your rigatoni in plenty of boiling salted water for 11 mins, or until al dente."
35,peel the skin off the chorizo and chop it into small chunks.
35,"cook with a splash of olive oil in a large saute pan over medium heat for 3 minutes, or until lots of the fat has rendered."
35,thinly slice the garlic and add it to the pan with a pinch of chilli flakes.
35,cook gently for 1 minute.
35,"add the tomato puree and cook for 2 mins, or until it begins to darken."
35,"add the cherry tomatoes and cook for 5 minutes, pressing down on the tomatoes to release their juices."
35,stir in the mascarpone until fully melted and season the sauce with a good pinch of salt and pepper.
35,cook gently for 2 minutes.
35,"grate the parmesan and add it to the sauce, along with the parsley and basil."
35,"drain the rigatoni, reserving a mug of pasta cooking water, and mix into the sauce, adding a splash of the cooking water to help it all come together."
35,plate up and top with a little more grated parmesan.
36,preheat the oven to 160c.
36,toast the pine nuts for 10-11 mins until golden brown.
36,bring a large pan of water to a rolling boil and season generously with salt.
36,drop in your spaghetti and cook according to the pack instructions.
36,"roughly chop the artichokes and finely chop the garlic, chilli and rosemary."
36,"add the chopped garlic, chilli and rosemary to a large saucepan with plenty of good olive oil and set it over a medium-low heat."
36,"cook for 4-5 mins until starting to sizzle and the room is filled with the smell of toasting rosemary, garlic and chilli."
36,"add the chopped artichokes and stir together, cook for another couple of mins until the artichokes start to break down a little."
36,"transfer the cooked spaghetti to the artichoke sauce and toss to combine until you have a creamy, emulsified, glossy sauce that coats the pasta."
36,"add in a handful of pine nuts, plenty of black pepper, roughly chopped mint, lemon zest and juice."
36,"give it another toss, divide between warm plates and top with extra pine nuts and lemon zest."
36,get stuck in.
37,finely dice the shallots and mince two of the garlic cloves.
37,add plenty of olive oil to a medium saucepan and set over medium heat.
