sent_id,token_text,token_lemma,token_tag,NER_tags
17,1,1,CD,O
17,inch,inch,NN,O
17,slices,slice,NNS,O
18,1/2,1/2,CD,B-QUANTITY
18,cup,cup,JJ,B-UNIT
18,olive,olive,JJ,B-NAME
18,oil,oil,NN,I-NAME
18,",",",",",",O
18,or,or,CC,O
18,to,to,TO,O
18,taste,taste,VB,O
19,4,4,CD,B-QUANTITY
19,12-inch,12-inch,JJ,I-QUANTITY
19,long,long,JJ,B-UNIT
19,metal,metal,NN,O
19,skewers,skewer,NNS,O
20,1,1,CD,B-QUANTITY
20,cup,cup,NN,B-UNIT
20,canned,canned,VBD,B-STATE
20,lobster,lobster,RBR,O
20,meat,meat,NN,B-NAME
20,",",",",",",O
20,with,with,IN,O
20,juice,juice,NN,I-NAME
21,2,2,CD,B-QUANTITY
21,tablespoons,tablespoon,NNS,B-UNIT
21,drained,drained,VBD,B-STATE
21,pickled,pickled,JJ,I-STATE
21,ginger,ginger,NN,B-NAME
21,",",",",",",O
21,for,for,IN,O
21,garnish,garnish,JJ,O
22,4,4,CD,B-QUANTITY
22,cups,cup,NNS,B-UNIT
22,water,water,NN,B-NAME
23,8,8,CD,B-QUANTITY
23,-LRB-,-LRB-,JJ,O
23,8,8,CD,I-QUANTITY
23,inch,inch,NN,B-UNIT
23,-RRB-,-RRB-,NNP,O
23,flour,flour,NN,B-NAME
23,tortillas,tortilla,NN,I-NAME
24,cooking,cooking,NN,I-NAME
24,spray,spray,NN,I-NAME
25,1,1,CD,B-QUANTITY
25,large,large,JJ,SIZE
25,onion,onion,NN,B-NAME
25,",",",",",",O
25,chopped,chopped,VBD,B-STATE
26,6,6,CD,B-QUANTITY
26,cups,cup,NNS,B-UNIT
26,chicken,chicken,JJ,B-NAME
26,stock,stock,NN,I-NAME
26,",",",",",",O
26,divided,divided,VBD,B-STATE
27,1,1,CD,B-QUANTITY
27,tablespoon,tablespoon,JJ,B-UNIT
27,fat-free,fat-free,JJ,B-STATE
27,Greek-style,Greek-style,JJ,B-NAME
27,yogurt,yogurt,NN,I-NAME
28,1,1,CD,B-QUANTITY
28,teaspoon,teaspoon,NN,B-UNIT
28,cumin,cumin,NN,B-NAME
28,seeds,seed,NNS,I-NAME
29,1/2,1/2,CD,B-QUANTITY
29,bunch,bunch,JJ,B-UNIT
29,fresh,fresh,JJ,DF
29,cilantro,cilantro,NN,B-NAME
29,",",",",",",O
29,chopped,chopped,VBD,B-STATE
30,1,1,CD,B-QUANTITY
30,large,large,JJ,SIZE
30,zucchini,zucchini,NN,B-NAME
30,cut,cut,NN,B-STATE
30,in,in,IN,O
30,half,half,JJ,I-STATE
30,lengthwise,lengthwise,NN,I-STATE
30,",",",",",",O
30,then,then,RB,O
30,cut,cut,VBD,I-STATE
30,into,into,IN,O
30,1-inch,1-inch,JJ,O
30,moons,moon,NNS,O
31,1/4,1/4,CD,B-QUANTITY
31,cup,cup,JJ,B-UNIT
31,2,2,CD,B-STATE
31,%,%,NN,I-STATE
31,low-fat,low-fat,JJ,I-STATE
31,milk,milk,NN,B-NAME
32,1/2,1/2,CD,B-QUANTITY
32,red,red,JJ,B-NAME
32,onion,onion,NN,I-NAME
32,",",",",",",O
32,chopped,chopped,VBD,B-STATE
33,1,1,CD,B-QUANTITY
33,-LRB-,-LRB-,JJ,O
33,8,8,CD,I-QUANTITY
33,ounce,ounce,NN,B-UNIT
33,-RRB-,-RRB-,JJ,O
33,package,package,NN,I-UNIT
33,cream,cream,NN,B-NAME
33,cheese,cheese,NN,I-NAME
33,",",",",",",O
33,softened,softened,VBD,B-STATE
34,1/4,1/4,CD,B-QUANTITY
34,cup,cup,NN,B-UNIT
34,butter,butter,NN,B-NAME
35,1,1,CD,B-QUANTITY
35,cup,cup,NN,B-UNIT
35,chestnut,chestnut,NN,B-NAME
35,puree,puree,NN,I-NAME
36,1/4,1/4,CD,B-QUANTITY
36,teaspoon,teaspoon,NN,B-UNIT
36,chili,chili,NN,B-NAME
36,powder,powder,NN,I-NAME
37,2,2,CD,B-QUANTITY
37,teaspoons,teaspoon,NNS,B-UNIT
37,honey,honey,NN,B-NAME
38,1,1,CD,B-QUANTITY
38,pinch,pinch,NN,B-UNIT
38,salt,salt,NN,B-NAME
38,",",",",",",O
38,or,or,CC,O
38,to,to,TO,O
38,taste,taste,VB,O
39,3,3,CD,B-QUANTITY
39,tablespoons,tablespoon,NNS,B-UNIT
39,finely,finely,RB,O
39,chopped,chopped,VBD,B-STATE
39,fresh,fresh,JJ,DF
39,ginger,ginger,NN,B-NAME
39,root,root,NN,I-NAME
40,2,2,CD,B-QUANTITY
40,teaspoons,teaspoon,NNS,B-UNIT
40,curry,curry,VBP,B-NAME
40,powder,powder,NN,I-NAME
41,1/2,1/2,CD,B-QUANTITY
41,pound,pound,NN,B-UNIT
41,fresh,fresh,JJ,DF
41,medium,medium,NN,SIZE
41,shrimp,shrimp,NN,B-NAME
41,",",",",",",O
41,peeled,peeled,VBN,B-STATE
41,and,and,CC,O
41,deveined,deveined,VBN,I-STATE
42,3,3,CD,B-QUANTITY
42,green,green,JJ,B-NAME
42,onions,onion,NNS,I-NAME
42,",",",",",",O
42,chopped,chopped,VBD,B-STATE
43,1 1/2,1 1/2,CD,B-QUANTITY
43,teaspoons,teaspoon,NNS,B-UNIT
43,red,red,JJ,B-NAME
43,pepper,pepper,NN,I-NAME
43,flakes,flake,NNS,I-NAME
44,1/4,1/4,CD,B-QUANTITY
44,cup,cup,JJ,B-UNIT
44,olive,olive,JJ,B-NAME
44,oil,oil,NN,I-NAME
45,1,1,CD,B-QUANTITY
45,teaspoon,teaspoon,NN,B-UNIT
45,salt,salt,NN,B-NAME
46,6,6,CD,B-QUANTITY
46,skinless,skinless,NN,B-STATE
46,",",",",",",O
46,boneless,boneless,NN,I-STATE
46,chicken,chicken,NN,B-NAME
46,breast,breast,NN,I-NAME
46,halves,half,NNS,I-NAME
46,",",",",",",O
46,or,or,CC,O
46,more,more,JJR,O
46,to,to,TO,O
46,taste,taste,VB,O
47,1,1,CD,B-QUANTITY
47,tablespoon,tablespoon,NN,B-UNIT
47,white,white,JJ,B-NAME
47,wine,wine,NN,I-NAME
48,8,8,CD,B-QUANTITY
48,ounces,ounce,NNS,B-UNIT
48,sliced,sliced,VBD,B-STATE
48,Swiss,Swiss,JJ,B-NAME
48,cheese,cheese,NN,I-NAME
49,2,2,CD,B-QUANTITY
49,cups,cup,NNS,B-UNIT
49,queijo,queijo,JJ,B-NAME
49,coalho,coalho,VBP,I-NAME
49,cheese,cheese,JJ,I-NAME
49,curds,curd,NNS,I-NAME
50,1,1,CD,B-QUANTITY
50,egg,egg,NN,B-NAME
50,yolk,yolk,NN,I-NAME
51,1/2,1/2,CD,B-QUANTITY
51,cup,cup,JJ,B-UNIT
51,whole,whole,NN,I-UNIT
51,or,or,CC,O
51,2,2,CD,B-STATE
51,%,%,NN,I-STATE
51,milk,milk,NN,B-NAME
52,3,3,CD,B-QUANTITY
52,ounces,ounce,NNS,B-UNIT
52,Cheddar,Cheddar,NNP,B-NAME
52,cheese,cheese,NN,I-NAME
52,",",",",",",O
52,sliced,sliced,VBD,B-STATE
53,1,1,CD,B-QUANTITY
53,teaspoon,teaspoon,NN,B-UNIT
53,white,white,JJ,B-NAME
53,sugar,sugar,NN,I-NAME
54,1/2,1/2,CD,B-QUANTITY
54,cup,cup,NN,B-UNIT
54,chopped,chopped,VBD,B-STATE
54,pecans,pecan,NNS,I-STATE
55,1/2,1/2,CD,B-QUANTITY
55,cup,cup,JJ,B-UNIT
55,half-and-half,half-and-half,NN,B-NAME
56,1/2,1/2,CD,B-QUANTITY
56,red,red,JJ,B-NAME
56,onion,onion,NN,I-NAME
56,",",",",",",O
56,finely,finely,RB,O
56,chopped,chopped,VBD,B-STATE
57,2,2,CD,B-QUANTITY
57,teaspoons,teaspoon,NNS,B-UNIT
57,chopped,chopped,VBD,B-STATE
57,garlic,garlic,JJ,B-NAME
58,1,1,CD,B-QUANTITY
58,teaspoon,teaspoon,NN,B-UNIT
58,vanilla,vanilla,NN,B-NAME
58,extract,extract,NN,I-NAME
59,1/2,1/2,CD,B-QUANTITY
59,cup,cup,NN,B-UNIT
59,strong,strong,JJ,B-STATE
59,brewed,brewed,VBD,I-STATE
59,coffee,coffee,NN,B-NAME
60,lemon,lemon,NN,I-NAME
60,",",",",",",O
60,juiced,juiced,VBD,B-STATE
61,1,1,CD,B-QUANTITY
61,teaspoon,teaspoon,NN,B-UNIT
61,ground,ground,NN,B-STATE
61,fenugreek,fenugreek,NN,B-NAME
62,1 1/2,1 1/2,CD,B-QUANTITY
62,pounds,pound,NNS,B-UNIT
62,lean,lean,JJ,B-STATE
62,ground,ground,NN,I-STATE
62,beef,beef,NN,B-NAME
63,6,6,CD,B-QUANTITY
63,ounces,ounce,NNS,B-UNIT
63,artichoke,artichoke,VBD,B-NAME
63,hearts,heart,NNS,I-NAME
63,",",",",",",O
63,drained,drained,VBN,B-STATE
63,and,and,CC,O
63,halved,halved,VBN,B-UNIT
64,2,2,CD,B-QUANTITY
64,limes,lime,NNS,B-NAME
65,2,2,CD,B-QUANTITY
65,tablespoons,tablespoon,NNS,B-UNIT
65,turbinado,turbinado,VBP,B-NAME
65,sugar,sugar,NN,I-NAME
66,1,1,CD,B-QUANTITY
66,teaspoon,teaspoon,NN,B-UNIT
66,minced,minced,VBD,B-STATE
66,garlic,garlic,JJ,B-NAME
67,1 1/2,1 1/2,CD,B-QUANTITY
67,tablespoons,tablespoon,NNS,B-UNIT
67,arrowroot,arrowroot,JJ,B-NAME
67,powder,powder,NN,I-NAME
67,",",",",",",O
67,or,or,CC,O
67,as,a,IN,O
67,desired,desired,JJ,O
68,salt,salt,NN,I-NAME
68,and,and,CC,O
68,ground,ground,NN,B-STATE
68,black,black,JJ,B-NAME
68,pepper,pepper,NN,I-NAME
68,to,to,TO,O
68,taste,taste,VB,O
69,1,1,CD,B-QUANTITY
69,tablespoon,tablespoon,NN,B-UNIT
69,cooking,cooking,NN,O
69,oil,oil,NN,B-NAME
70,3/4,3/4,CD,B-QUANTITY
70,teaspoon,teaspoon,NN,B-UNIT
70,crushed,crushed,VBD,B-STATE
70,beef,beef,NN,B-NAME
70,bouillon,bouillon,NN,I-NAME
70,cube,cube,NN,I-NAME
71,1,1,CD,B-QUANTITY
71,red,red,JJ,B-NAME
71,bell,bell,NN,I-NAME
71,pepper,pepper,NN,I-NAME
71,",",",",",",O
71,finely,finely,RB,O
71,chopped,chopped,VBD,B-STATE
72,2,2,CD,B-QUANTITY
72,tablespoons,tablespoon,NNS,B-UNIT
72,olive,olive,JJ,B-NAME
72,oil,oil,NN,I-NAME
73,2,2,CD,B-QUANTITY
73,cups,cup,NNS,B-UNIT
73,prune,prune,JJ,B-NAME
73,juice,juice,NN,I-NAME
73,or,or,CC,O
73,water,water,NN,I-NAME
74,1,1,CD,B-QUANTITY
74,tablespoon,tablespoon,NN,B-UNIT
74,chili,chili,NN,B-NAME
74,powder,powder,NN,I-NAME
75,1,1,CD,B-QUANTITY
75,tablespoon,tablespoon,NN,B-UNIT
75,ground,ground,NN,B-STATE
75,black,black,JJ,B-NAME
75,pepper,pepper,NN,I-NAME
76,1/3,1/3,CD,B-QUANTITY
76,cup,cup,NN,B-UNIT
76,freshly,freshly,RB,DF
76,squeezed,squeezed,VBN,B-STATE
76,lime,lime,NN,B-NAME
76,juice,juice,NN,I-NAME
77,1/4,1/4,CD,B-QUANTITY
77,teaspoon,teaspoon,NN,B-UNIT
77,ground,ground,NN,B-STATE
77,black,black,JJ,B-NAME
77,pepper,pepper,NN,I-NAME
78,4,4,CD,B-QUANTITY
78,cloves,clove,NNS,B-UNIT
78,garlic,garlic,JJ,B-NAME
78,",",",",",",O
78,minced,minced,VBD,B-STATE
79,1,1,CD,B-QUANTITY
79,cup,cup,NN,B-UNIT
79,chopped,chopped,VBD,B-STATE
79,green,green,JJ,B-NAME
79,onion,onion,NN,I-NAME
80,9,9,CD,B-QUANTITY
80,eggs,egg,NNS,B-NAME
81,1/2,1/2,CD,B-QUANTITY
81,teaspoon,teaspoon,NN,B-UNIT
81,chili,chili,NN,B-NAME
81,oil,oil,NN,I-NAME
81,-LRB-,-LRB-,NNP,O
81,optional,optional,NN,O
81,-RRB-,-RRB-,NN,O
82,2,2,CD,B-QUANTITY
82,egg,egg,NN,B-NAME
82,yolks,yolk,NNS,I-NAME
83,1,1,CD,B-QUANTITY
83,teaspoon,teaspoon,NN,B-UNIT
83,ground,ground,NN,B-STATE
83,turmeric,turmeric,NN,B-NAME
84,1,1,CD,B-QUANTITY
84,-LRB-,-LRB-,JJ,O
84,8,8,CD,I-QUANTITY
84,ounce,ounce,NN,B-UNIT
84,-RRB-,-RRB-,JJ,O
84,package,package,NN,I-UNIT
84,dry,dry,JJ,DF
84,pancit,pancit,NN,B-NAME
84,-LRB-,-LRB-,NNP,O
84,Canton,Canton,NNP,O
84,-RRB-,-RRB-,NNP,O
84,noodles,noodle,NNS,I-NAME
85,1,1,CD,B-QUANTITY
85,teaspoon,teaspoon,NN,B-UNIT
85,dried,dried,VBD,DF
85,oregano,oregano,NN,B-NAME
86,3/4,3/4,CD,B-QUANTITY
86,cup,cup,NN,B-UNIT
86,shredded,shredded,VBD,B-STATE
86,Parmesan,Parmesan,NNP,B-NAME
86,cheese,cheese,NN,I-NAME
87,3,3,CD,B-QUANTITY
87,tablespoons,tablespoon,NNS,B-UNIT
87,paprika,paprika,VBP,B-NAME
88,3/4,3/4,CD,B-QUANTITY
88,cup,cup,NN,B-UNIT
88,butter,butter,NN,B-NAME
89,1 1/2,1 1/2,CD,B-QUANTITY
89,teaspoons,teaspoon,NNS,B-UNIT
89,almond,almond,VBP,B-NAME
89,extract,extract,NN,I-NAME
90,1,1,CD,B-QUANTITY
90,tablespoon,tablespoon,NN,B-UNIT
90,anise,anise,NN,B-NAME
91,1/4,1/4,CD,B-QUANTITY
91,teaspoon,teaspoon,NN,B-UNIT
91,garlic,garlic,NN,B-NAME
91,salt,salt,NN,I-NAME
92,2,2,CD,B-QUANTITY
92,teaspoons,teaspoon,NNS,B-UNIT
92,minced,minced,VBN,B-STATE
92,fresh,fresh,JJ,DF
92,ginger,ginger,NN,B-NAME
92,root,root,NN,I-NAME
93,1/4,1/4,CD,B-QUANTITY
93,cup,cup,JJ,B-UNIT
93,low-sodium,low-sodium,JJ,B-STATE
93,soy,soy,NN,B-NAME
93,sauce,sauce,NN,I-NAME
94,1,1,CD,B-QUANTITY
94,tablespoon,tablespoon,NN,B-UNIT
94,crushed,crushed,VBD,B-STATE
94,peanuts,peanut,NNS,B-NAME
95,onion,onion,NN,I-NAME
95,powder,powder,NN,I-NAME
96,1,1,CD,B-QUANTITY
96,cup,cup,NN,B-UNIT
96,shredded,shredded,VBD,B-STATE
96,Cheddar,Cheddar,NNP,B-NAME
96,cheese,cheese,NN,I-NAME
97,3,3,CD,B-QUANTITY
97,tablespoons,tablespoon,NNS,B-UNIT
97,dried,dried,VBD,DF
97,minced,minced,JJ,B-STATE
97,onion,onion,NN,B-NAME
98,1,1,CD,B-QUANTITY
98,cup,cup,NN,B-UNIT
98,salsa,salsa,NN,B-NAME
98,verde,verde,NN,I-NAME
99,1,1,CD,B-QUANTITY
99,pound,pound,NN,B-UNIT
99,bacon,bacon,NN,B-NAME
100,3,3,CD,B-QUANTITY
100,pounds,pound,NNS,B-UNIT
100,Italian,Italian,JJ,B-NAME
100,prune,prune,NN,I-NAME
100,plums,plum,NNS,I-NAME
101,2,2,CD,B-QUANTITY
101,cinnamon,cinnamon,NN,B-NAME
101,sticks,stick,NNS,I-NAME
102,2,2,CD,B-QUANTITY
102,eggs,egg,NNS,B-NAME
102,",",",",",",O
102,beaten,beaten,VB,B-STATE
103,1,1,CD,B-QUANTITY
103,tablespoon,tablespoon,NN,B-UNIT
103,white,white,JJ,B-NAME
103,vinegar,vinegar,NN,I-NAME
104,1,1,CD,B-QUANTITY
104,cup,cup,JJ,B-UNIT
104,all-purpose,all-purpose,JJ,B-NAME
104,flour,flour,NN,I-NAME
105,2,2,CD,B-QUANTITY
105,teaspoons,teaspoon,NNS,B-UNIT
105,garlic,garlic,JJ,B-NAME
105,powder,powder,NN,I-NAME
106,1/2,1/2,CD,B-QUANTITY
106,English,English,JJ,B-NAME
106,cucumber,cucumber,NN,I-NAME
106,",",",",",",O
106,diced,diced,VBD,B-STATE
107,2,2,CD,B-QUANTITY
107,tablespoons,tablespoon,NNS,B-UNIT
107,caraway,caraway,VBP,B-NAME
107,seeds,seed,NNS,I-NAME
108,2,2,CD,B-QUANTITY
108,-LRB-,-LRB-,JJ,O
108,15,15,CD,I-QUANTITY
108,ounce,ounce,NN,B-UNIT
108,-RRB-,-RRB-,NN,O
108,cans,can,NNS,I-UNIT
108,garbanzo,garbanzo,JJ,B-NAME
108,beans,bean,NNS,I-NAME
108,",",",",",",O
108,drained,drained,VBD,B-STATE
109,1,1,CD,B-QUANTITY
109,-LRB-,-LRB-,JJ,O
109,8,8,CD,I-QUANTITY
109,ounce,ounce,NN,B-UNIT
109,-RRB-,-RRB-,NN,O
109,can,can,MD,I-UNIT
109,sliced,sliced,VB,B-STATE
109,mushrooms,mushroom,NNS,B-NAME
109,",",",",",",O
109,drained,drained,VBD,B-STATE
110,3,3,CD,B-QUANTITY
110,ribs,rib,JJ,B-NAME
110,celery,celery,NN,I-NAME
110,",",",",",",O
110,diced,diced,VBD,B-STATE
111,2,2,CD,B-QUANTITY
111,teaspoons,teaspoon,NNS,B-UNIT
111,Italian,Italian,JJ,B-NAME
111,seasoning,seasoning,VBG,I-NAME
112,1/3,1/3,CD,B-QUANTITY
112,cup,cup,JJ,B-UNIT
112,pine,pine,NN,B-NAME
112,nuts,nut,NNS,I-NAME
113,2,2,CD,B-QUANTITY
113,cloves,clove,NNS,B-UNIT
113,garlic,garlic,JJ,B-NAME
113,",",",",",",O
113,minced,minced,VBD,B-STATE
114,3,3,CD,B-QUANTITY
114,tablespoons,tablespoon,NNS,B-UNIT
114,all-purpose,all-purpose,JJ,B-NAME
114,flour,flour,NN,I-NAME
115,1,1,CD,B-QUANTITY
115,-LRB-,-LRB-,JJ,O
115,12,12,CD,I-QUANTITY
115,ounce,ounce,NN,B-UNIT
115,-RRB-,-RRB-,JJ,O
115,package,package,NN,I-UNIT
115,fresh,fresh,JJ,DF
115,cranberries,cranberry,NNS,B-NAME
116,3,3,CD,B-QUANTITY
116,tablespoons,tablespoon,NNS,B-UNIT
116,vegetable,vegetable,JJ,B-NAME
116,oil,oil,NN,I-NAME
117,3,3,CD,B-QUANTITY
117,eggs,egg,NNS,B-NAME
118,2,2,CD,B-QUANTITY
118,cups,cup,NNS,B-UNIT
118,apple,apple,NN,B-NAME
118,juice,juice,NN,I-NAME
119,1,1,CD,B-QUANTITY
119,tablespoon,tablespoon,NN,B-UNIT
119,chopped,chopped,VBD,B-STATE
119,fresh,fresh,JJ,DF
119,garlic,garlic,NN,B-NAME
120,2,2,CD,B-QUANTITY
120,teaspoons,teaspoon,NNS,B-UNIT
120,ground,ground,NN,B-STATE
120,cayenne,cayenne,VBZ,B-NAME
120,pepper,pepper,IN,I-NAME
121,1,1,CD,B-QUANTITY
121,tablespoon,tablespoon,JJ,B-UNIT
121,ginger-garlic,ginger-garlic,JJ,B-NAME
121,paste,paste,NN,I-NAME
122,2,2,CD,B-QUANTITY
122,cups,cup,NNS,B-UNIT
122,boiling,boiling,JJ,B-STATE
122,water,water,NN,B-NAME
123,4,4,CD,B-QUANTITY
123,roma,rom,NN,B-NAME
123,-LRB-,-LRB-,NNP,O
123,plum,plum,NN,O
123,-RRB-,-RRB-,NN,O
123,tomatoes,tomato,NNS,I-NAME
123,",",",",",",O
123,seeded,seeded,VBD,B-STATE
123,and,and,CC,O
123,diced,diced,VBD,I-STATE
124,1,1,CD,B-QUANTITY
124,avocado,avocado,JJ,B-NAME
124,-,-,:,O
124,peeled,peeled,VBN,B-STATE
124,",",",",",",O
124,pitted,pitted,VBN,I-STATE
124,",",",",",",O
124,and,and,CC,O
124,diced,diced,VBD,I-STATE
125,2 1/2,2 1/2,CD,B-QUANTITY
125,tablespoons,tablespoon,NNS,B-UNIT
125,water,water,NN,B-NAME
126,3,3,CD,B-QUANTITY
126,tablespoons,tablespoon,NNS,B-UNIT
126,cornstarch,cornstarch,NN,B-NAME
127,1/2,1/2,CD,B-QUANTITY
127,cup,cup,NN,B-UNIT
127,Basmati,Basmati,NNP,B-NAME
127,rice,rice,NN,I-NAME
128,vegetable,vegetable,JJ,I-NAME
128,oil,oil,NN,I-NAME
129,2,2,CD,B-QUANTITY
129,teaspoons,teaspoon,NNS,B-UNIT
129,chopped,chopped,VBD,B-STATE
129,fresh,fresh,JJ,DF
129,ginger,ginger,NN,B-NAME
130,1 1/2,1 1/2,CD,B-QUANTITY
130,cups,cup,NNS,B-UNIT
130,sliced,sliced,VBN,B-STATE
130,fresh,fresh,JJ,DF
130,mushrooms,mushroom,NNS,B-NAME
131,1,1,CD,B-QUANTITY
131,teaspoon,teaspoon,NN,B-UNIT
131,mustard,mustard,NN,B-NAME
131,seed,seed,NN,I-NAME
132,1,1,CD,B-QUANTITY
132,pinch,pinch,NN,B-UNIT
132,ground,ground,NN,B-STATE
132,black,black,JJ,B-NAME
132,pepper,pepper,NN,I-NAME
133,1,1,CD,B-QUANTITY
133,cup,cup,JJ,B-UNIT
133,white,white,JJ,B-NAME
133,sugar,sugar,NN,I-NAME
134,2,2,CD,B-QUANTITY
134,teaspoons,teaspoon,NNS,B-UNIT
134,vanilla,vanilla,NN,B-NAME
134,extract,extract,NN,I-NAME
135,3,3,CD,B-QUANTITY
135,tablespoons,tablespoon,NNS,B-UNIT
135,distilled,distilled,VBD,B-STATE
135,white,white,JJ,B-NAME
135,vinegar,vinegar,NN,I-NAME
136,1,1,CD,B-QUANTITY
136,teaspoon,teaspoon,NN,B-UNIT
136,shrimp,shrimp,NN,B-NAME
136,paste,paste,NN,I-NAME
137,1,1,CD,B-QUANTITY
137,teaspoon,teaspoon,NN,B-UNIT
137,mustard,mustard,NN,B-NAME
137,seeds,seed,NNS,I-NAME
138,1 2/3,1 2/3,CD,B-QUANTITY
138,cups,cup,NNS,B-UNIT
138,jasmine,jasmine,JJ,B-NAME
138,rice,rice,NN,I-NAME
139,1,1,CD,B-QUANTITY
139,-LRB-,-LRB-,JJ,O
139,8,8,CD,I-QUANTITY
139,ounce,ounce,NN,B-UNIT
139,-RRB-,-RRB-,JJ,O
139,package,package,NN,I-UNIT
139,shredded,shredded,VBD,B-STATE
139,queso,queso,JJ,B-NAME
139,quesadilla,quesadilla,NN,I-NAME
139,-LRB-,-LRB-,NNP,O
139,white,white,JJ,O
139,Mexican,Mexican,NNP,O
139,cheese,cheese,NN,O
139,-RRB-,-RRB-,NN,O
140,2,2,CD,B-QUANTITY
140,cups,cup,NNS,B-UNIT
140,white,white,JJ,B-NAME
140,sugar,sugar,NN,I-NAME
141,1 1/2,1 1/2,CD,B-QUANTITY
141,large,large,JJ,SIZE
141,onions,onion,NNS,B-NAME
141,",",",",",",O
141,finely,finely,RB,O
141,chopped,chopped,VBD,B-STATE
142,2,2,CD,B-QUANTITY
142,cups,cup,NNS,B-UNIT
142,chopped,chopped,VBD,B-STATE
142,kale,kale,NN,B-NAME
143,1/2,1/2,CD,B-QUANTITY
143,cup,cup,NN,B-UNIT
143,butter,butter,NN,B-NAME
143,",",",",",",O
143,melted,melted,VBD,B-STATE
144,1,1,CD,B-QUANTITY
144,pound,pound,NN,B-UNIT
144,chopped,chopped,VBD,B-STATE
144,onions,onion,NNS,B-NAME
